0	0	17	0	0	0	0	0	4	0	0	0	0
0	0	2	0	0	0	0	10	0	0	0	0	0
16	4	0	0	0	0	0	0	0	0	0	0	6
0	3	0	2	0	0	0	0	8	0	0	1	0
0	2	0	0	0	0	0	0	0	0	10	1	0
0	0	0	8	0	1	0	0	3	15	0	0	0
1	5	0	0	0	0	0	0	0	0	0	0	1
2	0	0	1	0	0	0	2	0	0	0	8	0
0	6	0	0	7	0	0	15	0	3	0	0	0
0	11	6	0	0	0	0	0	0	0	0	0	0
0	11	0	12	0	0	0	0	0	1	0	0	0
0	0	10	7	0	0	0	0	0	0	0	0	0
0	8	14	3	2	0	8	4	6	0	0	0	0
0	0	7	0	0	8	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	1	0	0	0
7	0	0	0	0	4	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0	1
9	0	0	8	0	0	0	0	6	0	5	0	0
21	0	0	0	0	1	0	5	0	0	1	0	0
0	0	0	0	0	0	0	2	0	1	0	0	3
3	0	0	0	0	0	0	0	12	0	2	11	0
0	0	2	0	0	0	0	0	0	0	0	0	0
0	6	2	0	0	0	0	0	11	0	0	0	0
0	0	0	0	0	4	8	0	0	0	0	0	9
0	0	0	0	0	0	0	0	0	0	0	0	6
0	7	0	0	0	0	0	0	2	0	0	8	4
0	11	1	0	0	5	0	0	0	2	0	0	12
0	0	0	0	0	0	0	0	0	0	1	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	1	0	0	11	3	0
0	0	0	0	0	0	0	2	0	0	0	0	2
0	0	4	0	0	0	6	0	0	0	0	0	1
0	7	0	0	0	0	0	0	0	6	0	14	0
0	14	0	0	0	0	0	0	1	0	0	0	0
0	0	0	2	0	0	4	3	0	0	0	4	0
0	0	0	7	0	0	1	0	0	0	0	0	0
2	0	0	0	0	0	0	0	7	0	0	0	0
0	1	0	0	0	0	0	3	0	0	0	0	0
1	0	0	0	0	0	0	6	0	10	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
6	6	0	1	0	0	0	0	0	0	1	1	0
0	0	0	0	0	0	1	0	5	0	0	3	0
11	6	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	3	1	0	1	0	17	0	7	0	0
0	4	0	0	0	0	0	0	0	0	0	0	0
0	4	4	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	11	0	0	1	0	0	0	0
0	0	0	2	0	0	0	0	1	0	0	0	0
1	10	0	1	0	0	0	0	21	0	0	5	0
15	0	0	0	0	0	0	11	0	0	0	0	0
0	0	0	0	1	4	1	0	13	0	3	0	0
0	0	0	2	0	0	14	0	0	1	0	6	0
17	0	0	0	0	0	0	0	0	0	0	4	0
0	0	0	14	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	7	0	0	0	5	0	0
0	0	0	0	0	0	0	2	0	0	1	0	0
0	10	0	0	0	0	0	4	0	0	0	0	0
0	10	0	0	0	0	5	0	0	0	4	0	0
0	0	0	0	0	0	3	0	0	0	0	19	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	0	0	0	0	2	0	0	0	0	0	0
0	0	11	2	14	0	0	0	0	0	0	0	0
3	3	0	0	0	0	0	0	8	0	1	0	4
1	0	0	0	2	10	0	0	0	0	0	0	14
1	0	2	0	0	0	23	0	0	0	0	0	0
0	0	2	12	0	0	0	0	0	0	0	3	0
14	0	1	0	0	11	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	0	1	0	0
0	0	1	2	0	0	0	0	0	4	0	0	0
0	0	1	0	0	7	0	0	0	0	0	0	0
0	0	0	0	0	0	17	0	0	0	0	0	2
4	10	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	15	0	0	0	0
0	5	3	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	1	3	0	5	0	4
0	0	0	0	11	0	0	0	5	0	0	0	0
0	7	0	0	0	0	0	1	0	0	0	0	4
0	7	0	12	0	0	0	0	10	0	0	3	0
0	0	0	0	2	0	5	7	2	0	0	9	1
0	17	0	7	0	0	0	0	0	0	3	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
10	0	1	1	0	13	4	0	0	0	0	0	2
0	5	0	0	0	0	8	0	0	0	0	4	0
5	3	0	11	11	0	0	0	1	0	0	8	0
0	0	0	4	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	3	0	8	0	0	0	0
0	0	1	3	0	0	4	0	0	0	9	0	0
0	0	7	0	0	0	0	0	1	0	0	0	0
0	0	0	7	8	0	1	0	4	4	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0
0	0	7	0	3	0	0	0	0	0	0	0	0
0	0	5	0	2	6	0	0	0	1	0	0	0
0	0	0	0	23	0	0	0	0	0	0	0	0
0	0	8	0	0	4	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	1	0	8
0	0	0	0	0	0	1	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	2	0	1	0	0	0	0	0	0	1	13
0	0	14	0	0	6	0	10	1	0	0	2	7
