Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
NA	NA	Smarca2	  1
NA	NA	Smarcb1	  6
NA	NA	Smc6	  2
NA	NA	Smo	  4
NA	NA	Smurf1	 18
NA	NA	Smyd2	 21
NA	NA	Snd1	 10
NA	NA	Snrpa	 21
NA	NA	Snta1	 42
NA	NA	Snx2	 32
NA	NA	Snx8	  7
NA	NA	Soat2	 62
NA	NA	Sod2	 30
NA	NA	Sord	 14
NA	NA	Spata13	 13
NA	NA	Spata24	  6
NA	NA	Sphk2	 47
NA	NA	Spnb3	  3
NA	NA	Spon2	  6
NA	NA	Sprn	 29
NA	NA	Spry4	 60
NA	NA	Spsb3	 21
NA	NA	Srebf1	  7
NA	NA	Srm	 41
NA	NA	Srms	 17
NA	NA	Srpk2	  8
NA	NA	Ssx2ip	 50
NA	NA	St3gal5	 62
NA	NA	St5	 41
NA	NA	St6galnac6	  7
NA	NA	Stac	  2
NA	NA	Stard4	 14
NA	NA	Stat5b	  1
NA	NA	Stau2	  2
NA	NA	Steap3	  1
NA	NA	Stim2	 49
NA	NA	Stip1	  4
NA	NA	Stk35	  1
NA	NA	Stt3b	 16
NA	NA	Stx4a	  3
NA	NA	Stx8	  9
NA	NA	Stxbp2	 18
NA	NA	Sult1c2	 46
NA	NA	Sult1d1	  2
NA	NA	Sumo1	  3
NA	NA	Surf4	  5
NA	NA	Swap70	  1
NA	NA	Syde2	  1
NA	NA	Syvn1	  7
NA	NA	Szt2	  7
NA	NA	Taco1	  4
NA	NA	Taf1c	 23
NA	NA	Taf2	 23
NA	NA	Taf4b	  2
NA	NA	Taf8	 12
NA	NA	Taf9	 12
NA	NA	Tarsl2	  9
NA	NA	Tatdn2	 18
NA	NA	Tax1bp3	  8
NA	NA	Tbc1d10a	  4
NA	NA	Tbc1d15	 16
NA	NA	Tbc1d16	  5
NA	NA	Tbc1d17	 10
NA	NA	Tbc1d20	 18
NA	NA	Tbl2	 41
NA	NA	Tcp11l2	  3
NA	NA	Tenc1	  6
NA	NA	Tep1	 24
NA	NA	Terf1	  2
NA	NA	Tgfbr1	  3
NA	NA	Tgfbr3	  2
NA	NA	Thnsl2	  8
NA	NA	Thra	 15
NA	NA	Thrap3	  9
NA	NA	Thrsp	  7
NA	NA	Thtpa	 24
NA	NA	Thumpd2	  1
NA	NA	Ticam1	 49
NA	NA	Tigd2	 47
NA	NA	Timm8a1	  6
NA	NA	Timp3	 64
NA	NA	Tjp2	  2
NA	NA	Tjp3	 18
NA	NA	Tk1	  2
NA	NA	Tle3	 38
NA	NA	Tm7sf3	  2
NA	NA	Tmc7	  9
NA	NA	Tmco4	 13
NA	NA	Tmed1	 12
NA	NA	Tmed4	  5
NA	NA	Tmem100	 23
NA	NA	Tmem115	 18
NA	NA	Tmem120b	  3
NA	NA	Tmem14c	 22
NA	NA	Tmem150a	 11
NA	NA	Tmem180	 29
NA	NA	Tmem194	 17
NA	NA	Tmem20	  2
NA	NA	Tmem218	 10
NA	NA	Tmem37	  6
NA	NA	Tmem41a	  2
NA	NA	Tmem41b	  4
NA	NA	Tmem57	  3
NA	NA	Tmem66	 24
NA	NA	Tmem97	 14
NA	NA	Tmie	 34
NA	NA	Tmx1	  6
NA	NA	Tnfrsf19	 39
NA	NA	Tnfrsf1b	 35
NA	NA	Tnks1bp1	  5
NA	NA	Tnnc1	 13
NA	NA	Tob2	  6
NA	NA	Tollip	  5
NA	NA	Topors	 55
NA	NA	Tpd52l1	 11
NA	NA	Tra2a	 10
NA	NA	Trak1	 10
NA	NA	Trak2	  4
NA	NA	Trappc2l	 21
NA	NA	Trib3	  6
NA	NA	Trp53	 14
NA	NA	Trpm7	 44
NA	NA	Tsc22d3	 36
NA	NA	Tsen54	  7
NA	NA	Tsku	 24
NA	NA	Tsnax	  4
NA	NA	Tspan12	 49
NA	NA	Tspan33	  6
NA	NA	Tspan4	 53
NA	NA	Tssc1	  7
NA	NA	Tssc4	  9
NA	NA	Ttc23	 24
NA	NA	Ttc39b	  5
NA	NA	Ttc7b	  6
NA	NA	Tubb2a	 17
NA	NA	Tubb2b	 10
NA	NA	Tubg1	 37
NA	NA	Txndc15	 12
NA	NA	Txnrd1	  4
NA	NA	Txnrd3	 22
NA	NA	Tysnd1	  4
NA	NA	Uap1l1	 51
NA	NA	Uba7	 10
NA	NA	Ube2g1	 11
NA	NA	Ube2q1	 27
NA	NA	Ubl7	  2
NA	NA	Ubqln1	 17
NA	NA	Ubqln4	 11
NA	NA	Ubr2	  2
NA	NA	Uchl5	 14
NA	NA	Uck2	 30
NA	NA	Uckl1	 18
NA	NA	Ugcg	 66
NA	NA	Ugdh	 14
NA	NA	Uggt1	 15
NA	NA	Ugp2	  6
NA	NA	Ugt2a3	 30
NA	NA	Ugt2b34	 56
NA	NA	Uhrf1bp1	  4
NA	NA	Ulk1	 30
NA	NA	Unc45a	 35
NA	NA	Unc79	  3
NA	NA	Upp2	 18
NA	NA	Usp28	 12
NA	NA	Usp30	 16
NA	NA	Usp46	 11
NA	NA	Utp14a	  3
NA	NA	Utp3	 46
NA	NA	Utrn	  2
NA	NA	Uvrag	 11
NA	NA	Vac14	  6
NA	NA	Vamp3	  4
NA	NA	Vapb	  3
NA	NA	Vcp	  5
NA	NA	Vdac2	  3
NA	NA	Vps11	 16
NA	NA	Vps13a	  5
NA	NA	Vps35	  2
NA	NA	Vps37c	 40
NA	NA	Vps41	 17
NA	NA	Vti1a	 12
NA	NA	Vwc2l	  1
NA	NA	Wdr36	  2
NA	NA	Wdr6	  6
NA	NA	Wdtc1	  1
NA	NA	Wee1	 27
NA	NA	Wipi2	  7
NA	NA	Wnt5b	  6
NA	NA	Wrb	  4
NA	NA	Wrnip1	  6
NA	NA	Wwp2	  9
NA	NA	Xdh	 12
NA	NA	Xkr9	  3
NA	NA	Xpa	 18
NA	NA	Xpot	  4
NA	NA	Xrn1	  6
NA	NA	Xrn2	  9
NA	NA	Yod1	 23
NA	NA	Ypel5	 11
NA	NA	Ywhag	  5
NA	NA	Ywhah	  3
NA	NA	Zbtb10	  2
NA	NA	Zbtb40	  1
NA	NA	Zbtb7b	  8
NA	NA	Zc3h12d	 46
NA	NA	Zc3h6	  6
NA	NA	Zc3h8	 25
NA	NA	Zcchc11	 27
NA	NA	Zcchc24	 24
NA	NA	Zcchc6	  5
NA	NA	Zdhhc20	 14
NA	NA	Zfand3	  8
NA	NA	Zfp161	  3
NA	NA	Zfp295	  9
NA	NA	Zfp324	 40
NA	NA	Zfp428	 13
NA	NA	Zfp787	 24
NA	NA	Zfp867	 19
NA	NA	Zfyve26	  3
NA	NA	Zfyve9	  7
NA	NA	Zkscan17	  9
NA	NA	Zmym4	  3
NA	NA	Zmym5	 13
NA	NA	Zmynd19	 27
NA	NA	Znrf3	 29
NA	NA	Zranb1	 18
NA	NA	Zswim4	  9
NA	NA	Zxdc	  7
