Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
NA	NA	Cdv3	  5
NA	NA	Cebpb	 46
NA	NA	Celsr1	 29
NA	NA	Cgn	109
NA	NA	Cgrrf1	 29
NA	NA	Chchd4	  9
NA	NA	Chic1	  8
NA	NA	Chic2	  1
NA	NA	Chmp4c	  2
NA	NA	Chordc1	 50
NA	NA	Chsy1	 19
NA	NA	Chuk	  7
NA	NA	Cir1	  3
NA	NA	Clasp2	 42
NA	NA	Cldn1	 16
NA	NA	Clip1	  5
NA	NA	Clip4	  4
NA	NA	Clpx	  9
NA	NA	Cnn3	 37
NA	NA	Cnnm3	 45
NA	NA	Cnot2	  1
NA	NA	Colq	  6
NA	NA	Copb1	 38
NA	NA	Copg2	  9
NA	NA	Coq10a	 24
NA	NA	Coq10b	  1
NA	NA	Coq4	  4
NA	NA	Coro7	 39
NA	NA	Cox10	  7
NA	NA	Cpt1a	 12
NA	NA	Crbn	  7
NA	NA	Crcp	 19
NA	NA	Creld1	 38
NA	NA	Creld2	137
NA	NA	Crim1	 44
NA	NA	Crip2	 16
NA	NA	Crot	 72
NA	NA	Csnk1g2	 18
NA	NA	Csnk1g3	 16
NA	NA	Csrp3	 23
NA	NA	Ctdsp2	 20
NA	NA	Ctnnd1	  7
NA	NA	Ctso	 34
NA	NA	Cul3	 26
NA	NA	Cwc15	 25
NA	NA	Cyb5d2	  5
NA	NA	Cyfip1	 83
NA	NA	Cygb	  9
NA	NA	Cyp39a1	  3
NA	NA	Cyp8b1	  7
NA	NA	Cys1	 25
NA	NA	D0H4S114	 35
NA	NA	D15Ertd621e	 11
NA	NA	D18Ertd653e	 93
NA	NA	D1Ertd622e	 37
NA	NA	D430042O09Rik	 22
NA	NA	D4Ertd22e	 15
NA	NA	D730039F16Rik	  5
NA	NA	Daam1	 55
NA	NA	Dact1	 23
NA	NA	Dak	  6
NA	NA	Dapk1	 72
NA	NA	Darc	 14
NA	NA	Dazap1	 11
NA	NA	Dcaf8	 30
NA	NA	Dclre1a	 28
NA	NA	Dctn2	 13
NA	NA	Ddah1	 32
NA	NA	Ddb1	  6
NA	NA	Ddc	 33
NA	NA	Ddhd2	  5
NA	NA	Ddit3	 34
NA	NA	Ddo	  6
NA	NA	Ddx46	  3
NA	NA	Ddx60	  1
NA	NA	Dexi	 12
NA	NA	Dgkd	  4
NA	NA	Dhfr	  5
NA	NA	Dhps	 20
NA	NA	Dhrs3	125
NA	NA	Dhrs9	 34
NA	NA	Dhx9	  2
NA	NA	Dis3l2	 22
NA	NA	Dlg1	  1
NA	NA	Dlg3	 21
NA	NA	Dnaja1	 48
NA	NA	Dnaja2	 17
NA	NA	Dnajb1	  1
NA	NA	Dnajb11	 13
NA	NA	Dnajb2	 27
NA	NA	Dnajc13	  5
NA	NA	Dnajc19	 21
NA	NA	Dnmt3a	 15
NA	NA	Dnmt3b	  5
NA	NA	Dpp9	 26
NA	NA	Dpy19l1	 14
NA	NA	Dsc2	 77
NA	NA	Dst	  2
NA	NA	Dtx4	 21
NA	NA	Dus2l	  3
NA	NA	Dusp1	 44
NA	NA	Dusp5	 17
NA	NA	Dync1h1	 12
NA	NA	Dync1li1	  3
NA	NA	Dyrk2	 18
NA	NA	E130012A19Rik	 27
NA	NA	E130208F15Rik	 21
NA	NA	E130311K13Rik	  2
NA	NA	E230001N04Rik	 28
NA	NA	E430025E21Rik	 13
NA	NA	Ears2	  3
NA	NA	Edem1	 54
NA	NA	Edem2	  7
NA	NA	Eef1g	 92
NA	NA	Efhd2	 20
NA	NA	Efnb1	103
NA	NA	Ei24	 31
NA	NA	Eid2b	  3
NA	NA	Eif2a	 38
NA	NA	Eif2ak1	  7
NA	NA	Eif2c4	 32
NA	NA	Eif4b	 12
NA	NA	Eif6	 15
NA	NA	Elmo3	  6
NA	NA	Elovl6	 45
NA	NA	Elp4	 18
NA	NA	Enoph1	 40
NA	NA	Enpp2	 49
NA	NA	Entpd5	  5
NA	NA	Epc2	  8
NA	NA	Ephx2	  4
NA	NA	Epm2a	  4
NA	NA	Eps8l2	 30
NA	NA	Erap1	  3
NA	NA	Erbb3	  5
NA	NA	Erbb4	 17
NA	NA	Erp44	  6
NA	NA	Esrra	 12
NA	NA	Etf1	 44
NA	NA	Etfdh	 16
NA	NA	Ethe1	 27
NA	NA	Exoc2	  4
NA	NA	Exoc4	  2
NA	NA	Exog	  7
NA	NA	F3	 76
NA	NA	Fabp12	 59
NA	NA	Fam100b	  1
NA	NA	Fam102a	 13
NA	NA	Fam117b	  1
NA	NA	Fam134b	  1
NA	NA	Fam172a	  4
NA	NA	Fam195a	  9
NA	NA	Fam20a	 10
NA	NA	Fam20b	  6
NA	NA	Fam47e	 52
NA	NA	Fancl	  3
NA	NA	Fas	 20
NA	NA	Fasn	 40
NA	NA	Fbxl15	  8
NA	NA	Fbxo21	  6
NA	NA	Fbxo32	  7
NA	NA	Fbxo34	 11
NA	NA	Fbxo6	 10
NA	NA	Fbxo8	 27
NA	NA	Fdx1	 24
NA	NA	Fech	  3
NA	NA	Fer	  1
NA	NA	Fermt2	  4
NA	NA	Fgf1	 15
NA	NA	Fgfr2	  3
NA	NA	Fgfrl1	 10
NA	NA	Fhad1	 12
NA	NA	Fkbp4	  7
NA	NA	Fkbp5	 25
NA	NA	Flcn	  8
NA	NA	Flnb	 36
NA	NA	Flot1	 22
NA	NA	Fmn2	  1
NA	NA	Fmo1	  8
NA	NA	Fmo2	 18
NA	NA	Fnip1	  2
NA	NA	Foxk1	  3
NA	NA	Foxo3	 68
NA	NA	Fpgs	 15
NA	NA	Fundc2	  3
NA	NA	Fzd4	 63
NA	NA	Gab2	 15
NA	NA	Gabarapl1	 27
NA	NA	Gale	 17
NA	NA	Galm	  6
