13	22	3	27	13	0	35	25	8	8	64	6	15	1	26	7	2	33	17	41	52	3	0	6	27	11
10	1	6	32	22	1	1	11	6	23	23	9	6	18	4	13	10	4	2	5	2	15	6	1	18	33
15	42	1	0	21	7	10	13	10	13	5	0	14	21	37	22	29	17	7	3	15	35	8	2	0	34
3	5	7	6	4	10	53	4	1	20	19	10	1	0	6	2	4	11	2	7	5	2	18	27	24	8
10	8	5	94	3	31	2	14	8	1	3	1	21	14	10	22	26	7	53	15	27	7	64	1	2	2
24	25	1	1	3	0	4	3	7	2	14	12	4	13	6	2	6	3	1	15	5	11	0	0	6	4
5	11	1	14	6	13	2	11	8	6	2	15	1	3	0	10	13	14	26	1	1	10	22	3	4	20
10	4	1	22	9	9	0	86	33	15	7	2	12	2	3	9	3	9	50	4	1	1	25	19	5	0
9	2	26	5	6	21	14	20	16	21	4	58	28	3	4	7	17	35	6	2	17	0	50	11	2	15
45	19	26	14	8	20	10	5	0	0	4	0	35	1	2	15	8	10	6	10	6	3	0	34	1	1
4	4	0	3	34	8	8	2	11	4	2	2	0	14	12	0	8	27	41	5	1	10	5	16	17	6
13	17	0	20	2	14	12	33	45	12	6	4	107	10	2	22	0	0	43	3	21	4	33	3	1	2
27	14	8	14	4	29	16	26	6	2	0	52	2	18	3	15	8	2	22	45	15	6	3	1	25	4
1	48	3	3	1	11	4	13	1	16	2	6	1	10	11	4	13	23	3	0	16	11	3	1	2	6
14	2	35	11	5	9	4	5	8	23	11	4	32	5	4	14	39	0	6	2	87	38	30	6	13	2
8	6	2	33	8	9	25	0	1	16	14	0	5	9	4	0	12	7	21	0	35	0	9	2	2	9
42	3	0	19	1	5	12	5	4	10	37	2	12	1	17	9	12	2	2	20	21	33	8	14	5	9
4	3	31	4	3	0	3	2	6	1	16	3	34	2	3	25	2	23	1	5	22	15	1	9	7	4
5	4	16	17	94	36	11	12	3	0	3	3	14	8	3	10	107	37	2	17	9	23	11	28	1	14
14	0	3	8	39	2	1	64	33	17	45	5	2	9	6	2	46	1	2	13	1	6	10	3	0	7
3	2	5	3	39	37	19	3	29	4	5	5	7	8	32	13	1	27	2	21	22	13	6	20	3	3
10	2	15	0	67	6	40	37	11	25	16	67	6	40	19	3	1	1	34	1	1	5	24	3	48	29
3	0	11	47	5	26	13	50	9	29	17	17	0	16	12	15	1	3	1	1	11	3	18	16	5	17
3	0	12	55	3	2	4	3	2	6	2	2	13	8	6	7	31	10	4	7	3	19	10	4	11	47
14	3	7	10	0	8	18	43	4	3	22	6	0	6	39	0	50	0	2	0	4	4	3	8	0	4
