20	24	5	4	8	1	7	9	25	6	11
28	3	27	6	3	14	9	8	16	5	4
2	29	4	8	2	25	0	4	0	4	13
4	3	13	24	5	5	9	4	7	7	2
4	11	0	24	19	34	0	4	8	5	27
4	6	8	2	37	4	4	64	23	10	11
5	1	4	27	6	13	19	23	22	24	20
9	17	4	58	8	0	20	2	1	10	3
21	2	9	2	6	13	2	17	12	6	14
12	50	25	0	7	9	25	5	3	67	5
15	28	4	43	7	8	28	12	5	16	4
16	25	43	0	2	25	16	8	8	4	2
6	1	1	2	20	1	10	7	8	14	22
3	5	34	13	1	3	16	1	31	3	3
16	19	5	15	4	4	31	33	10	2	25
4	6	3	14	19	23	5	0	16	4	2
2	13	0	9	27	3	24	1	1	3	4
25	3	8	40	2	3	52	0	40	22	4
0	3	1	9	28	3	11	13	29	28	4
25	8	40	2	0	1	5	21	8	22	6
9	2	1	5	4	11	12	5	13	3	132
0	16	14	32	20	3	8	4	0	25	18
0	5	9	10	20	2	6	29	7	25	107
7	15	2	4	8	2	4	10	39	0	25
9	4	86	5	1	3	14	30	10	5	0
12	2	10	0	7	1	9	7	13	5	35
19	11	17	7	2	25	3	17	2	10	1
6	2	14	16	3	33	3	10	4	34	2
0	24	0	0	9	0	0	34	3	15	20
29	1	9	11	0	10	10	2	2	2	15
13	22	49	43	40	22	21	48	19	11	28
13	6	89	28	19	10	6	5	3	42	0
3	0	16	22	6	5	0	16	35	16	4
3	22	3	11	0	31	18	11	8	26	1
4	18	0	29	17	6	7	2	3	15	8
26	22	1	25	17	6	4	1	6	9	33
8	15	3	17	4	2	5	25	29	3	14
18	25	1	6	7	7	0	0	4	3	37
0	4	5	16	9	19	8	8	33	0	4
25	25	13	28	27	5	7	1	2	1	15
1	3	11	6	2	14	9	8	5	3	24
1	10	8	33	23	0	5	10	0	2	4
34	3	5	7	25	2	45	29	1	2	2
7	16	13	20	2	4	1	5	50	40	11
0	12	51	13	16	3	8	6	16	1	3
56	1	25	17	8	3	3	10	5	22	10
4	8	0	3	9	23	10	10	5	4	16
82	40	25	36	3	13	3	9	6	3	18
2	9	10	13	4	4	3	13	0	0	27
19	2	3	5	25	13	42	23	0	7	4
29	13	2	5	22	11	10	28	11	17	1
3	10	6	21	3	33	9	0	1	6	11
8	3	10	2	35	13	37	3	14	1	7
5	18	3	3	7	2	29	4	13	2	19
11	6	1	14	20	7	47	3	5	2	50
5	1	12	61	34	19	0	3	8	6	5
28	13	1	2	2	2	22	40	14	3	1
17	5	25	5	3	23	5	25	0	2	6
32	3	19	20	15	70	10	6	10	2	1
29	2	10	2	27	52	24	4	11	19	25
4	32	10	1	45	3	23	20	3	11	18
10	7	19	4	21	8	6	33	0	5	13
13	3	17	3	9	15	9	10	94	16	45
25	5	0	3	9	3	36	5	1	6	5
13	35	6	13	6	2	3	3	46	14	17
14	2	0	32	40	31	12	2	0	4	10
16	6	16	7	22	17	22	23	7	3	1
3	27	23	5	18	36	0	3	0	50	0
23	5	7	14	17	82	12	10	2	0	1
1	13	5	11	6	3	1	37	21	9	9
17	9	1	42	5	13	23	1	8	10	11
48	17	3	10	40	2	51	34	17	3	4
34	9	56	40	26	1	8	3	16	10	3
20	24	2	0	2	3	39	5	8	1	13
23	12	2	28	2	10	16	14	30	34	6
1	6	6	47	9	25	14	3	9	3	35
22	9	8	50	1	3	82	3	4	11	8
10	15	9	3	3	3	5	3	7	10	6
3	26	0	6	2	1	18	17	0	2	29
7	19	2	3	6	10	5	3	8	7	17
0	7	1	2	10	6	1	6	8	9	38
0	31	27	3	18	13	18	20	22	9	20
22	20	2	5	1	7	1	7	0	24	4
13	15	16	0	12	24	4	8	2	8	1
48	2	16	5	23	0	20	7	34	2	20
78	82	1	16	3	13	9	38	36	34	23
82	13	34	14	3	53	1	13	23	3	4
0	18	50	33	50	2	13	3	10	5	6
6	11	4	64	25	6	2	25	17	5	2
13	18	12	2	50	11	0	3	3	13	3
9	3	19	13	15	1	0	3	18	2	3
1	16	0	38	2	4	0	5	11	3	30
0	2	11	10	3	8	25	9	21	15	25
7	17	0	0	42	67	25	40	8	11	11
6	48	29	24	4	3	6	10	1	17	23
10	25	32	23	18	0	15	50	0	10	10
17	25	1	0	16	12	1	24	0	8	5
4	20	3	16	6	10	20	23	3	23	9
5	1	0	0	3	41	6	11	1	7	6
1	1	8	37	29	2	5	14	42	13	19
